Name	Set	ImageFile	OfficialSet	Type	Brigade	Strength	Toughness	Class	Identifier	SpecialAbility	Rarity	Reference	Sound	Alignment	Legality
Agur	Pri	Agur_(Pi)	Priests	Hero	Gold	8	9			You may place an O.T.  Enhancement from hand (or discard pile if Book of the Law is active) on a human Hero of matching brigade in your territory.  The next time that Hero enters battle, that Enhancement activates and is discarded immediately.	Rare	Proverbs 30:1		Good	
Ahab ( C)	2E	Ahab_(C)	2nd Edition	Evil Character	Brown	6	6				Deck	I Kings 21:25		Evil	
Ahab (L)	Main	Ahab_(UL)	Main	Evil Character	Brown	6	6				Uncommon	I Kings 21:25		Evil	
Ahab (UL)	Main UL	Ahab_(UL)	Main Unlimited	Evil Character	Brown	6	6				Uncommon	I Kings 21:25		Evil	
Ahab's Armor	Pri	Ahab's_Armor_(Pi)	Priests	EE	Brown	0	5	Weapon		Protect Evil Character from capture and convert abilities.  Discard that Evil Character after battle if Syrian Archer is in play.  Ahab may retain as a weapon until discarded.	Uncommon	I Kings 22:34		Evil	
Ahaz, the Unfaithful (LoC)	LoC	LoC_182-Ahaz-R	Lineage of Christ	Evil Character	Brown	9	12	Warrior, Star	King of Judah	STAR: Underdeck a meek Lost Soul. EC: Negate protect abilities on other cards. Opponent may discard their human. If they do not, protect meek Lost Souls from rescue. Cannot be prevented.	Rare	II Kings 15:38		Evil	Rotation
Ahaziah	Prp	Ahaziah_(Pr)	Prophets	Evil Character	Brown	5	7				Uncommon	I Kings 22:53		Evil	
Ahaziah, the Wicked (LoC)	LoC	LoC_183-Ahaziah	Lineage of Christ	Evil Character	Brown	2	3	Warrior, Star	King of Judah	STAR: Topdeck a brown human from deck. EC: May band to a brown king, or you may take a brown card from II Kings or II Chronicles from Reserve. Cannot be negated if you control a meek Lost Soul.	Common	II Kings 8:24		Evil	Rotation
Ahimaaz (FoM)	FoM	111-Ahimaaz	Fall of Man	Hero	Red/Teal	4	2	Warrior	Tabernacle High Priest, House of Eleazar	First strike. Protect priests from capture, underdeck and set-aside abilities. You may look at a hand or Reserve. If David is in play, negate an evil or neutral card.	Common	II Samuel 18:27		Good	Rotation
Ahimaaz (Ki)	Ki	Ahimaaz_(Ki)	Kings	Hero	Blue	4	2	Warrior		Holder may look at one opponent's hand or cards face down in a Site.  Hero may then withdraw from battle unharmed or continue the battle.  Ahimaaz cannot be captured.	Uncommon	II Samuel 17:17		Good	
Ahimaaz (Pi)	Pri	Ahimaaz_(Pi)	Priests	Hero	Teal	4	2	Warrior	Tabernacle High Priest, House of Eleazar	Protect this Hero from capture.  You may look at one opponent's hand or cards face down in a Site.  You may then withdraw Hero from battle unharmed.	Uncommon	II Samuel 17:17		Good	
Ahimaaz, the Swift	IR	053-Ahimaaz-the-Swift	Israel's Rebellion	Hero	Clay	6	3	Warrior	Tabernacle High Priest	Protect O.T. priests from evil withdraw and reserve abilities. You may play a Lost Soul from a deck or negate a neutral card.	Common	II Samuel 18:19		Good	Rotation
Ahiman, son of Anak	FoM	068-Ahiman	Fall of Man	Evil Character	Black	9	11	Warrior	Canaanite, Giant	You may take Hebron or a Canaanite giant from discard pile. May band to a son of Anak. Band abilities on giants cannot be negated.	Common	Numbers 13:22		Evil	Rotation
Ahimelech, Chief Priest	IR	054-Ahimelech-Chief-Priest-R	Israel's Rebellion	Hero	Clay	5	10	Territory	Tabernacle High Priest	If an O.T. clay card you own is reserved, you may draw 1. If attacking, you may take an O.T. clay card from Reserve.	Rare	I Samuel 21:1		Good	Rotation
Ahimelech, Priest at Nob	Pri	Ahimelech_Priest_at_Nob_(Pi)	Priests	Hero	Teal	3	3		Tabernacle Priest, House of Ithamar	Search discard pile for a weapon class Enhancement and place on your warrior class Hero that has no weapon and convert weapon to that Hero's brigade.	Uncommon	II Samuel 15:12		Good	
Ahimelek the Hittite	RoA	Ahimelek_the_Hittite_(RA2)	Rock of Ages	Hero	Red	4	5	Warrior	Canaanite	Return an Evil Character to owner's hand. Protect your warrior class Heroes from capture. Cannot be negated if David is in play.	Fixed	I Samuel 26:6		Good	
Ahithophel (Ki)	Ki	Ahithophel_(Ki)	Kings	Evil Character	Gray	2	2			May band with any Evil Character with a reference from II Samuel 14-17.	Uncommon	II Samuel 15:31		Evil	
Ahithophel (Wa)	War	Ahithophel_(Wa)	Warriors	Evil Character	Gray	2	2			May band with Absalom.	Uncommon	II Samuel 15:31		Evil	
Ahitub, the High Priest	IR	057-Ahitub-the-High-Priest	Israel's Rebellion	Hero	Clay	2	1		Tabernacle High Priest	Protect Lost Souls from evil cards. You may reserve this card to add a Tabernacle priest from hand, deck or territory to battle.	Common	I Samuel 22:11		Good	Rotation
Ahuzzath (LoC)	LoC	LoC_175-Ahuzzath	Lineage of Christ	Evil Character	Black	2	6		Philistine, X = # of your Philistines	You may topdeck an O.T. black Enhancement from Reserve (or take it if a black king is in play). You may banish up to X good cards from a discard pile.	Common	Genesis 26:26		Evil	Rotation
Alabaster Jar	Ap	Alabaster_Jar_(Ap)	Apostles	GE	Blue	4	3			Holder may search draw pile for Potter's Field and put it in play.	Common	Matthew 26:7		Good	
Alertness	Main	Alertness_(UL)	Main	GE	Purple	2	2				Common	I Peter 5:8		Good	
Alertness	Main UL	Alertness_(UL)	Main Unlimited	GE	Purple	2	2				Common	I Peter 5:8		Good	
Alexander	RoA	Alexander_(RA)	Rock of Ages	Evil Character	Black	2	6		Sadducee, X = number of Good brigades opponent has in play	When blocking, reveal X cards from the top of your deck. Take all N.T. evil cards into hand. Place the rest beneath deck. Cannot be negated.	Fixed	Acts 4:6		Evil	
Alexander of Troas (Roots)	RR	145-Alexander-of-Troas.jpg	Roots	Evil Character	Black	9	9		Greek	Underdeck a Hero. Opponent may underdeck a good Enhancement from hand instead. Cannot be negated if another evil Greek is in play.		II Timothy 4:14		Evil	Rotation
Alexander the Coopersmith	3E	Alexander_the_Coppersmith_(E)	3rd Edition	Evil Character	Crimson	9	9				Deck	II Timothy 4:14		Evil	
Alexander the Great	PoC	167-Alexander-the-Great-R	Prophecies of Christ	Evil Character	Black	12	6	Warrior	Greek King, Unity: Evil Characters (Greek)	First strike. Take a City or Artifact, discard a multi-brigade card, or each player must draw 1. If this card is discarded, you may withdraw it instead. May band to a Greek warrior. Cannot be prevented.	Rare	Daniel 11:3		Evil	Rotation
Alexandrian Ship	TPC	Alexandrian_Ship_(PC)	Persecuted Church	Fortress					Plays to Set Aside, Holds any # of captured humans	Each upkeep, if you control a Centurion or an Egyptian, you may transfer contents to any Land of Bondage.	Common	Acts 27:6		Evil	Rotation
Aliens (LoC Black/Pale Green)	LoC	LoC_165-Aliens	Lineage of Christ	Evil Character	Black/Pale Green	3	3		Generic	You may reserve a card from hand to draw 1. You may capture this card to a player to add your human of matching brigade to battle. Cannot be prevented.	Common	II Chronicles 2:17		Evil	Rotation
Aliens (LoC Brown/Gray)	LoC	LoC_166-Aliens	Lineage of Christ	Evil Character	Brown/Gray	3	3		Generic	Each player must underdeck a card from hand. You may capture this card to a player to add your human of matching brigade to battle. Cannot be prevented.	Common	II Chronicles 2:17		Evil	Rotation
Aliens (LoC Crimson/Gold)	LoC	LoC_167-Aliens	Lineage of Christ	Evil Character	Crimson/Gold	3	3		Generic	You may discard a card from hand to discard a card from a Reserve. You may capture this card to a player to add your human of matching brigade to battle. Cannot be prevented.	Common	II Chronicles 2:17		Evil	Rotation
All Hope Lost	Pat	All_Hope_Lost_(Pa)	Patriarchs	EE	Pale Green	0	3			If Hero(s) in battle returns to territory without making a successful rescue, Hero(s) may not enter battle until healed.	Common	Judges 6:2		Evil	
All the Curses (LoC)	LoC	LoC_015-All-the-Curses	Lineage of Christ	Curse	Brown	2	4			EE: Capture all Heroes in battle to a player. ART: Negate opponents’ neutral cards.	Common	II Chronicles 34:24		Evil	Rotation
Alliance Against Judah (LoC)	LoC	LoC_212-Alliance-Against-Judah	Lineage of Christ	EE	Multi	2	2			Character may band to a character in each territory. Cannot be negated if a good king is in battle.	Common	II Chronicles 20:1		Evil	Rotation
Altar of Ahaz	Pri	Altar_of_Ahaz_(Pi)	Priests	Artifact					False Religious Practice	Protect all Lost Souls from rescue by Dominants.  Discard this card if a human Hero rescues a Lost Soul from your territory.	Ultra Rare	II Kings 16:11		Neutral	
Altar of Burnt Offering	Pri	Altar_of_Burnt_Offering_(Pi)	Priests	Artifact					Tabernacle Artifact, Temple Artifact	You may play up to two offering Enhancements during your preparation phase.  They activate immediately, and then are discarded.	Ultra Rare	Exodus 27:21		Neutral	
Altar of Burnt Offering (1st Print - L)	L1P	L4-1P-Altar-of-Burnt-Offering	L Starter (1st Print)	Artifact					Tabernacle, Temple	You may underdeck an Exodus Hero from discard pile or Reserve.	Starter	Exodus 27:1		Neutral	Rotation
Altar of Burnt Offering [L]	L	L4-Altar-of-Burnt-Offering	L Starter	Artifact					Herod's Temple, Tabernacle, Zerubbabel's Temple, Solomon's Temple	If an opponent uses a good or evil draw ability, you may draw 1.	Starter	Exodus 27:1		Neutral	Rotation
Altar of Dagon	Pat	Altar_of_Dagon_(Pa)	Patriarchs	Artifact						No Evil Character can be converted.  Prevents Holy Grail.	Uncommon	Judges 16:23		Neutral	
Altar of Dagon (FoM)	FoM	096-Altar-of-Dagon	Fall of Man	Artifact					Idol, X= # of your evil Philistines	Negate Heroes with toughness less than X. While your evil Philistine is in battle, restrict opponent from playing good Dominants.	Common	Judges 16:23		Neutral	Rotation
Altar of Incense (E)	3E	Altar_of_Incense_(E)	3rd Edition	Artifact						O.T. Heroes are protected from discard special abilities on evil enhancements.	Deck	Exodus 30:1		Neutral	
Altar of Incense (Pi)	Pri	Altar_of_Incense_(Pi)	Priests	Artifact					Tabernacle Artifact, Temple Artifact	Protect O.T.  Heroes from discard abilities on evil Enhancements.	Uncommon	Exodus 30:1		Neutral	
Amariah the High Priest	Pri	Amariah_the_High_Priest_(Pi)	Priests	Hero	Teal	7	6		Solomon's Temple High Priest, House of Eleazar	Enhancements used by this Hero cannot be interrupted.	Uncommon	II Chronicles 19:11		Good	
Amariah, the High Priest (Roots)	RR	053-Amariah.jpg	Roots	Hero	Clay	7	6		House of Eleazar, Solomon’s Temple High Priest	O.T. clay Enhancements used by this card cannot be interrupted.		II Chronicles 19:11		Good	Rotation
Amasa	Ki	Amasa_(Ki)	Kings	Evil Character	Pale Green	8	8	Warrior	Israelite Commander	Cannot be taken prisoner.  May band to Absalom's Soldiers.	Uncommon	II Samuel 17:25		Evil	
Amasai the Raider	FoOF	Amasai_the_Raider_(FF)	Faith of Our Fathers	Hero	Red	9	9	Warrior		Discard an evil Enhancement from opponent's deck or Storehouse.	Fixed	I Chronicles 12:18		Good	
Amaziah, the Just / Amaziah, the Arrogant (LoC)	LoC	LoC_042-Amaziah-R	Lineage of Christ	Hero/Evil Character	Purple/Red/Brown	4(5)	5(4)	Warrior	King of Judah (King of Judah)	HERO: If you control a meek Hero, you may discard an evil card with a discard ability. EC: You may choose a Hero to attack. Cannot be negated if a meek Lost Soul is in play.	Rare	II Kings 14:1/II Chronicles 25:15		Neutral	Rotation
Amaziah, the Ungodly Priest	Pri	Amaziah_the_Ungodly_Priest_(Pi)	Priests	Evil Character	Black	7	6		Priest	Evil kings of Israel are immune to all good special abilities this turn.  May band to King Jeroboam II.	Uncommon	Amos 7:10		Evil	
Amaziah's Order	Pri	Amaziah's_Order_(Pi)	Priests	EE	Black	0	6			Evil Character repels good prophets.  Cannot be negated if used by an evil Priest.	Common	Amos 7:12		Evil	
Amazing Faith (GoC)	GoC	099-Amazing-Faith	Gospel of Christ	GE	Gold	7	0	Star		STAR: Play a Lost Soul from a deck. GE: Negate evil cards in battle. You may take a good Dominant from deck. Cannot be negated.	Common	Luke 7:9		Good	Rotation
Ambush	Pat	Ambush_(Pa)	Patriarchs	GE	Red					Set aside a male Hero (face down) from your hand for one turn.  Hero returns to territory face down.  Hero enters battle face down with access to any site.  When opponent presents an Evil Character in battle, Hero is flipped face up.	Common	Joshua 8:2		Good	
Ambush the City	Ki	Ambush_the_City_(Ki)	Kings	GE	Gold					If making a rescue attempt, set all cards in battle aside (regardless of immunity).  Holder may begin a new rescue attempt against same player.  Once new rescue attempt is completed, the original battle resumes as a battle challenge.  Cannot be negated.	Rare	Joshua 8:19		Good	
Ambush! (GoC)	GoC	198-Ambush!-R	Gospel of Christ	EE	Crimson	6	0		Gospel	Interrupt the battle. You may take a thief from Reserve. Character may band to any number of N.T. crimson humans. Cannot be negated if used by a thief.	Rare	Luke 10:30		Evil	Rotation
Ambushed Moabites (LoC)	LoC	LoC_197-Ambushed-Moabites-R	Lineage of Christ	Evil Character	Gray	1	3	Territory, Star	Generic, Moabite, Fool, Limit 1 Fool per territory	STAR: Give this card to opponent's territory. EC: Negate discard abilities on your evil cards. Each upkeep, you must discard another evil O.T.  human in territory.	Rare	II Chronicles 20:22		Evil	Rotation
Amminadab, the Generous / Amminadab, the Gracious (LoC)	LoC	LoC_113-Amminadab	Lineage of Christ	Hero	White (White/Red)	8(3)	11(4)	Star		STAR: Discard the top card of a deck. TOP: If a meek Hero is in play, you may play a Lost Soul from a deck or bounce an evil card. Cannot be prevented. BOTTOM: Meek	Common	Ruth 4:19		Good	Rotation
Amon, the Forsaken (LoC)	LoC	LoC_184-Amon	Lineage of Christ	Evil Character	Brown	2	5	Territory, Star	King of Judah, Unity: Lost Souls (Meek)	STAR: Topdeck a brown Enhancement from discard pile. EC: Negate other characters and Lost Souls in territories. If blocking, you may play an idol from deck.	Common	II Kings 21:18		Evil	Rotation
Amorite Invasion	Pat	Amorite_Invasion_(Pa)	Patriarchs	EE	Crimson	1	5			Worth 2/10 against a Hero who fought in an earthly battle.	Common	Judges 1:34		Evil	
Amos	Prp	Amos_(Pr)	Prophets	Hero	Green	6	3				Uncommon	Amos 7:15		Good	
Amos (PoC)	PoC	180-Amos-R	Prophecies of Christ	Hero	Green	3	9	Star	Minor Prophet, X = # of your minor prophets	STAR: Play a Lost Soul from a deck. HERO: If opponent has board advantage, shuffle up to X of their cards. Cannot be negated if a king of Israel is in play.	Rare	Amos 1:1		Good	Rotation
Amram, Moses’ Father (Roots)	RR	127-Amram.jpg	Roots	Hero	White	7	4			If opponent has board advantage, discard the top card of their deck. May band to an Exodus human.		Exodus 6:20		Good	Rotation
An Angel Appears (GoC)	GoC	069-An-Angel-Appears	Gospel of Christ	GE	Silver/White	2	3	Territory, Star	Gospel, Nativity	STAR: Topdeck a N.T. Artifact from Reserve. / GE: You may play a Gospel angel from Reserve (or deck if opponent has hand advantage). Hero may band to an angel	Common	Luke 1:11		Good	Rotation
Ananias	Ap	Ananias_(Ap)	Apostles	Evil Character	Crimson	4	5			May band to Sapphira without being negated, interrupted, or prevented.	Rare	Acts 5:1		Evil	
Ananias of Damascus (Ap)	Ap	Ananias_of_Damascus_(Ap)	Apostles	Hero	Purple	3	4			Any Saul/Paul in play, repents and Saul becomes Paul.	Uncommon	Acts 9:10		Good	
Ananias of Damascus (EC)	TEC	Ananias_of_Damascus_(EC)	Early Church	Hero	Clay	3	4			Negate Sites. Once per game, you may search deck or discard pile for N.T. Saul, play and convert him. Protect Paul from opponents' cards while he is in territory. Cannot be interrupted.	Common	Acts 9:17		Good	Rotation
Ancient Evil (D)	2E	Ancient_Evil_(DU)	2nd Edition	EE	Black	2	3			Discard any Hero in a territory.	Deck	Revelation 12:9-10		Evil	
Ancient Evil (G)	10A	Ancient_Evil_(G)	10th Anniversary	EE	Black	2	3			Discard any Hero in a territory.	Deck	Revelation 12:9		Evil	
Andrew (Ap)	Ap	Andrew_(Ap)	Apostles	Hero	Red	7	8				Uncommon	Luke 6:13-16		Good	
Andrew (I)	I	Andrew_(I)	I	Hero	Purple	3	3		Disciple	May band to Peter.	Deck	Luke 6:13-14		Good	Rotation
Andrew, First Called / Andrew, Fisher of Men (GoC)	GoC	107-Andrew	Gospel of Christ	Hero	Purple/Clay	11 (7)	7 (11)		Disciple, Gospel, Jerusalem, Martyr, Missionary	You may reveal a good Dominant from hand to negate characters (except disciples). You may convert this card to meek to negate Enhancements.	Common	John 1:40		Good	Rotation
Angel at Bethesda	I	Angel_at_Bethesda_(I)	I	Hero	Silver	3	1				Deck	John 5:4		Good	Rotation
Angel at Jerusalem (Pi)	Pri	Angel_at_Jerusalem_(Pi)	Priests	Hero	Silver	2	2	Warrior		This Hero has access to any Site.  If King Hezekiah is in play or set aside, discard a warrior-class Assyrian.	Uncommon	II Chronicles 32:21		Good	
Angel at Jerusalem (Roots)	RR	117-Angel-at-Jerusalem.jpg	Roots	Hero	Silver	2	2	Warrior	Angel, Generic	O.T. Enhancements used by this Hero are regardless of protect abilities. After battle, discard all blocking evil warriors.		II Chronicles 32:21		Good	Rotation
Angel at Jerusalem (Wa)	War	Angel_at_Jerusalem_(Wa)	Warriors	Hero	Silver	2	2			Hero has access to any Site.	Common	II Chronicles 32:21		Good	
Angel at Shur (Promo)	Pmo-P1	Angel_at_Shur_(Promo)	Promo	Hero	Silver	7	2			Search draw pile for an O.T. male Hero and put it in hand. This Hero is immune to demons.	Promo	Genesis 16:7		Good	
Angel at Shur (Roots)	RR	113-Angel-at-Shur.jpg	Roots	Hero	Silver	7	2		Angel, Generic	May band to an O.T. angel, or you may take an O.T. female from deck.		Genesis 16:7		Good	Rotation
Angel at Shur (Wa)	War	Angel_at_Shur_(Wa)	Warriors	Hero	Silver	7	2			Hero is immune to demons and beasts.	Common	Genesis 16:7		Good	
Angel at the Tomb (Pi)	Pri	Angel_at_the_Tomb_(Pi)	Priests	Hero	Silver	6	6			If your Son of God card was discarded without making a rescue, shuffle it into draw pile.  Cannot be negated.	Uncommon	Matthew 28:2		Good	
Angel at the Tomb (Wa)	War	Angel_at_the_Tomb_(Wa)	Warriors	Hero	Silver	6	6			If holder's Son of God card was discarded without making a rescue, return it to holder's draw pile.  Shuffle draw pile.	Common	Matthew 28:2		Good	
Angel Chariots (Ki)	Ki	Angel_Chariots_(Ki)	Kings	GE	Silver	3	2			Discard any Crimson Brigade Evil Character in play or a set-aside area.	Uncommon	Psalm 68:17		Good	
Angel Chariots (Roots)	RR	120-Angel-Chariots.jpg	Roots	GE	Silver	3	2	Weapon	Involves music	Negate an evil card. You may draw 2.		Psalm 68:17		Good	Rotation
Angel Chariots (Wa)	War	Angel_Chariots_(Wa)	Warriors	GE	Silver	3	2			Discard any Crimson Brigade Evil Character in play or a set-aside area.	Uncommon	Psalm 68:17		Good	
Angel Departed	AW	Angel_Departed_(AW)	Angel Wars	EE	Pale Green	0	5			Return a silver brigade Hero in battle to owner's territory. Cannot be prevented.	Common	Acts 12:10		Evil	
